what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564915997715
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915999713
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564916002368
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564916004538
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564916006399
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564916006399
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1564916009967
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564916011978
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564916013346
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564916019660
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564916021664
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564916021664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916026113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916526385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916528009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916561616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916562054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916596801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916598754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916611816
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1564916615472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916619456
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564916635564
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564916635627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916635658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916636549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916639314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1564916640283
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1564916650985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916654157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916669484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916678733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564916706271
